Body,Status,SentDate,ApiVersion,NumSegments,ErrorCode,Direction,Price,PriceUnit,ShortenedLinkEnabled
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9705286,79.164369",delivered,2025-10-27T10:56:34+05:30,01-04-2010,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.964766,79.1539362",delivered,2025-10-26T12:23:21+05:30,01-04-2010,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.964766,79.1539362",delivered,2025-10-26T12:23:14+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9730084,79.1586598",delivered,2025-10-25T00:10:08+05:30,01-04-2010,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9647678,79.1539331",delivered,2025-10-24T21:59:17+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9647652,79.1539409",delivered,2025-10-24T17:41:31+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9647664,79.1539356",delivered,2025-10-24T16:23:54+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9647664,79.1539356",delivered,2025-10-24T16:23:01+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9728592,79.1586355",delivered,2025-10-24T13:32:51+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Please help me! My live location: https://www.google.com/maps?q=12.972994,79.1586382",delivered,2025-10-24T13:30:44+05:30,2010-04-01,3,0,outbound-api,-0.2496,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.964377,79.1546317",delivered,2025-10-24T09:58:59+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.964377,79.1546317",delivered,2025-10-24T09:58:33+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9647664,79.1539359",delivered,2025-10-24T08:54:26+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9730198,79.1586527",delivered,2025-09-24T14:27:18+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9730198,79.1586527",delivered,2025-09-24T14:26:33+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9730046,79.1586416",delivered,2025-09-14T21:10:04+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9730152,79.1586483",delivered,2025-09-12T09:35:29+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9730076,79.15875",delivered,2025-09-11T23:25:10+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9729999,79.1586345",delivered,2025-09-11T14:14:55+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9705484,79.1643739",delivered,2025-09-11T09:05:40+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9705484,79.1643739",delivered,2025-09-11T09:05:40+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9705484,79.1643739",delivered,2025-09-11T09:05:39+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9705484,79.1643739",delivered,2025-09-11T09:05:39+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.970587,79.1643502",delivered,2025-09-11T09:05:04+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9729964,79.1586435",delivered,2025-09-11T07:44:44+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9730076,79.1586311",delivered,2025-09-10T22:16:50+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9730076,79.1586311",delivered,2025-09-10T22:16:27+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! My location: https://www.google.com/maps?q=12.969895,79.1559379",delivered,2025-09-10T21:44:09+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Location: https://maps.google.com/?q=12.9730127,79.1586093",delivered,2025-09-10T20:05:47+05:30,2010-04-01,2,0,outbound-api,-0.1664,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Please help me! My live location: https://www.google.com/maps?q=12.9730319,79.158644",delivered,2025-09-10T19:06:38+05:30,2010-04-01,3,0,outbound-api,-0.2496,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Please help me! My live location: https://www.google.com/maps?q=12.9710852,79.1637493",delivered,2025-09-08T10:59:18+05:30,2010-04-01,3,0,outbound-api,-0.2496,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Please help me! My live location: https://www.google.com/maps?q=12.9730031,79.1586579",delivered,2025-09-07T22:29:33+05:30,2010-04-01,3,0,outbound-api,-0.2496,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Please help me! My live location: https://www.google.com/maps?q=12.9729971,79.1586634",delivered,2025-09-04T07:38:35+05:30,01-04-2010,3,0,outbound-api,-0.2496,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Please help me! My live location: https://www.google.com/maps?q=12.9729604,79.1585571",delivered,2025-09-03T11:08:02+05:30,2010-04-01,3,0,outbound-api,-0.2496,USD,FALSE
"Sent from your Twilio trial account - 🚨 SOS Alert! Please help me! My live location: https://www.google.com/maps?q=12.9729751,79.1589098",delivered,2025-09-03T10:54:38+05:30,2010-04-01,3,0,outbound-api,-0.2496,USD,FALSE
